Rank,Name,Actor,Year,Score,Country,ImgName
89,魔女宅急便,"高山南,佐久间玲,户田 惠子",1989/7/29,8.8,日本,89_魔女宅急便.jpg
90,七武士,"三船敏郎,志村乔,千秋实",1954/4/26,9.1,日本,90_七武士.jpg
91,忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2009/6/13,9.2,美国,91_忠犬八公的故事.jpg
92,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009/7/31,8.9,美国,92_海豚湾.jpg
93,拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998/11/13,8.9,,93_拯救大兵瑞恩.jpg
94,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008/6/27,9.3,美国,94_机器人总动员.jpg
95,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010/6/20,8.9,俄罗斯,95_神偷奶爸.jpg
96,放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004/10/16,8.8,,96_放牛班的春天.jpg
97,熔炉,"孔刘,郑有美,金智英",2011/9/22,8.8,韩国,97_熔炉.jpg
98,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010/1/4,9,,98_阿凡达.jpg
99,千与千寻,"柊瑠美,周冬雨,入野自由",2019/6/21,9.3,,99_千与千寻.jpg
100,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012/11/6,9,,100_无敌破坏王.jpg
